


Hingis, Martina, Female, Green, 4/2/1979
Kelly, Sue, Female, Pink, 7/12/1959
Smith, Steve, Male, Red, 3/3/1985
Abercrombie, Neil, Male, Tan, 2/13/1943
Bonk, Radek, Male, Green, 6/3/1975
Abercrombie, Xander, Male, Tan, 2/13/1943
Bishop, Timothy, Male, Yellow, 4/23/1967
Bouillon, Ali, Male, Blue, 6/3/1975
Seles, Monica, Female, Black, 12/2/1973
Bouillon, Francis, Male, Blue, 6/3/1975
Kournikova, Anna, Female, Red, 6/3/1975

Murray, Bill, Male, Burgundy, 1/10/1950
Jarmush, Jim, Male, White, 1/22/1953
